problem,algo,run,cost,feasible
Welded Beam,EOGWO,0,1.727365,1
Welded Beam,EOGWO,1,1.727728,1
Welded Beam,EOGWO,2,1.734224,1
Welded Beam,EOGWO,3,1.739021,1
Welded Beam,EOGWO,4,1.727051,1
Welded Beam,EOGWO,5,1.732510,1
Welded Beam,EOGWO,6,1.728581,1
Welded Beam,EOGWO,7,1.727523,1
Welded Beam,EOGWO,8,1.727317,1
Welded Beam,EOGWO,9,1.728905,1
Welded Beam,EOGWO,10,1.729458,1
Welded Beam,EOGWO,11,1.727532,1
Welded Beam,EOGWO,12,1.728592,1
Welded Beam,EOGWO,13,1.742220,1
Welded Beam,EOGWO,14,1.729512,1
Welded Beam,EOGWO,15,1.727551,1
Welded Beam,EOGWO,16,1.728986,1
Welded Beam,EOGWO,17,1.746898,1
Welded Beam,EOGWO,18,1.727749,1
Welded Beam,EOGWO,19,1.735121,1
Welded Beam,EOGWO,20,1.733528,1
Welded Beam,EOGWO,21,1.727359,1
Welded Beam,EOGWO,22,1.730522,1
Welded Beam,EOGWO,23,1.729070,1
Welded Beam,EOGWO,24,1.729953,1
Welded Beam,EOGWO,25,1.739662,1
Welded Beam,EOGWO,26,1.727967,1
Welded Beam,EOGWO,27,1.730295,1
Welded Beam,EOGWO,28,1.729618,1
Welded Beam,EOGWO,29,1.727450,1
Welded Beam,GWO,0,1.728192,1
Welded Beam,GWO,1,1.731142,1
Welded Beam,GWO,2,1.727484,1
Welded Beam,GWO,3,1.727453,1
Welded Beam,GWO,4,1.730758,1
Welded Beam,GWO,5,1.727863,1
Welded Beam,GWO,6,1.727645,1
Welded Beam,GWO,7,1.727616,1
Welded Beam,GWO,8,1.726917,1
Welded Beam,GWO,9,1.726920,1
Welded Beam,GWO,10,1.732786,1
Welded Beam,GWO,11,1.726604,1
Welded Beam,GWO,12,1.725908,1
Welded Beam,GWO,13,1.727515,1
Welded Beam,GWO,14,1.726668,1
Welded Beam,GWO,15,1.729178,1
Welded Beam,GWO,16,1.727933,1
Welded Beam,GWO,17,1.726810,1
Welded Beam,GWO,18,1.729190,1
Welded Beam,GWO,19,1.729612,1
Welded Beam,GWO,20,1.727281,1
Welded Beam,GWO,21,1.726112,1
Welded Beam,GWO,22,1.727935,1
Welded Beam,GWO,23,1.730624,1
Welded Beam,GWO,24,1.726020,1
Welded Beam,GWO,25,1.728899,1
Welded Beam,GWO,26,1.728075,1
Welded Beam,GWO,27,1.729979,1
Welded Beam,GWO,28,1.730613,1
Welded Beam,GWO,29,1.726686,1
Welded Beam,PSO,0,1.724859,1
Welded Beam,PSO,1,1.725437,1
Welded Beam,PSO,2,1.724854,1
Welded Beam,PSO,3,1.724853,1
Welded Beam,PSO,4,1.724876,1
Welded Beam,PSO,5,1.724864,1
Welded Beam,PSO,6,1.724853,1
Welded Beam,PSO,7,1.724853,1
Welded Beam,PSO,8,1.724859,1
Welded Beam,PSO,9,1.724852,1
Welded Beam,PSO,10,1.724971,1
Welded Beam,PSO,11,1.724857,1
Welded Beam,PSO,12,1.724966,1
Welded Beam,PSO,13,1.724859,1
Welded Beam,PSO,14,1.724855,1
Welded Beam,PSO,15,1.724853,1
Welded Beam,PSO,16,1.724854,1
Welded Beam,PSO,17,1.724862,1
Welded Beam,PSO,18,1.724854,1
