problem,algo,best_cost,mean,std,feas_rate,literature_best,best_x
Welded Beam,EOGWO,1.727051,1.730976,4.901950e-03,1.00,1.724852,0.20592 3.47094 9.03752 0.20595
Welded Beam,GWO,1.725908,1.728214,1.688960e-03,1.00,1.724852,0.20516 3.48394 9.03688 0.20574
Welded Beam,PSO,1.724852,1.724951,2.596545e-04,1.00,1.724852,0.20573 3.47049 9.03662 0.20573
Welded Beam,DE,1.724852,1.724852,1.746970e-15,1.00,1.724852,0.20573 3.47049 9.03662 0.20573
Welded Beam,WOA,1.725555,1.796647,1.821964e-01,1.00,1.724852,0.20538 3.47817 9.03749 0.20574
Pressure Vessel,EOGWO,6061.020383,6215.721678,3.476658e+02,1.00,6059.714,0.79420 0.42641 42.09509 176.71658
Pressure Vessel,GWO,6060.669474,6243.940356,3.603320e+02,1.00,6059.714,0.82406 0.44332 42.09435 176.70685
Pressure Vessel,PSO,6059.714336,6313.278281,1.954198e+02,1.00,6059.714,0.81073 0.43940 42.09845 176.63660
Pressure Vessel,DE,6059.714335,6118.683127,2.323066e+02,1.00,6059.714,0.78416 0.41985 42.09845 176.63660
Pressure Vessel,WOA,6059.768991,6468.616951,4.495895e+02,1.00,6059.714,0.81277 0.42487 42.09801 176.64208
Tension/Compression Spring,EOGWO,0.012692,0.012897,2.379454e-04,1.00,0.012665,0.05163 0.35495 11.41232
Tension/Compression Spring,GWO,0.012679,0.012817,1.743265e-04,1.00,0.012665,0.05140 0.34971 11.72263
Tension/Compression Spring,PSO,0.012665,0.013520,3.170038e-03,1.00,0.012665,0.05163 0.35536 11.36880
Tension/Compression Spring,DE,0.012665,0.012671,1.812246e-05,1.00,0.012665,0.05169 0.35672 11.28897
Tension/Compression Spring,WOA,0.012666,0.013848,1.259359e-03,1.00,0.012665,0.05150 0.35209 11.56575
