function,algo,run,error
F1,EOGWO,0,9.694674e+04
F1,EOGWO,1,1.253285e+05
F1,EOGWO,2,7.667709e+04
F1,EOGWO,3,9.229085e+04
F1,EOGWO,4,2.086297e+04
F1,EOGWO,5,3.494025e+05
F1,EOGWO,6,2.556239e+05
F1,EOGWO,7,1.107234e+04
F1,EOGWO,8,2.884514e+05
F1,EOGWO,9,4.843755e+04
F1,EOGWO,10,1.656064e+05
F1,EOGWO,11,2.951642e+05
F1,EOGWO,12,1.314563e+05
F1,EOGWO,13,1.072922e+05
F1,EOGWO,14,2.066054e+04
F1,EOGWO,15,2.046404e+04
F1,EOGWO,16,2.414159e+05
F1,EOGWO,17,8.359192e+04
F1,EOGWO,18,7.194881e+04
F1,EOGWO,19,3.258583e+04
F1,EOGWO,20,1.083202e+05
F1,EOGWO,21,9.820381e+04
F1,EOGWO,22,1.138504e+04
F1,EOGWO,23,1.458421e+05
F1,EOGWO,24,4.342086e+05
F1,EOGWO,25,4.880992e+04
F1,EOGWO,26,1.621841e+05
F1,EOGWO,27,3.423132e+05
F1,EOGWO,28,1.435297e+05
F1,EOGWO,29,6.451759e+04
F1,GWO,0,1.513064e+06
F1,GWO,1,2.294469e+07
F1,GWO,2,5.325537e+05
F1,GWO,3,1.202594e+05
F1,GWO,4,8.035165e+06
F1,GWO,5,2.418219e+08
F1,GWO,6,5.277642e+06
F1,GWO,7,1.418992e+08
F1,GWO,8,1.821332e+05
F1,GWO,9,4.086515e+04
F1,GWO,10,3.432284e+04
F1,GWO,11,1.598067e+06
F1,GWO,12,3.197527e+04
F1,GWO,13,1.375446e+06
F1,GWO,14,1.875852e+07
F1,GWO,15,1.588686e+05
F1,GWO,16,2.395409e+04
F1,GWO,17,1.880540e+05
F1,GWO,18,3.393631e+04
F1,GWO,19,7.500377e+05
F1,GWO,20,5.978708e+05
F1,GWO,21,9.050042e+04
F1,GWO,22,4.235782e+06
F1,GWO,23,4.559516e+04
F1,GWO,24,2.461436e+05
F1,GWO,25,1.070935e+06
F1,GWO,26,1.197991e+07
F1,GWO,27,2.179895e+05
F1,GWO,28,7.829014e+05
F1,GWO,29,4.657446e+05
F1,PSO,0,4.646615e+03
F1,PSO,1,1.979704e+03
F1,PSO,2,2.496249e+04
F1,PSO,3,2.876072e+02
F1,PSO,4,2.097929e+04
F1,PSO,5,1.126124e+03
F1,PSO,6,2.496249e+04
F1,PSO,7,9.741377e+03
F1,PSO,8,1.098189e+04
F1,PSO,9,2.031325e+04
F1,PSO,10,3.474104e+02
F1,PSO,11,2.496249e+04
F1,PSO,12,2.097434e+04
F1,PSO,13,2.496249e+04
F1,PSO,14,2.766182e+02
F1,PSO,15,3.105581e+03
F1,PSO,16,2.496249e+04
F1,PSO,17,1.034887e+04
F1,PSO,18,5.519533e+08
F1,PSO,19,4.647891e+03
F1,PSO,20,4.646638e+03
F1,PSO,21,1.970656e+03
F1,PSO,22,3.436159e-01
F1,PSO,23,1.027970e+04
F1,PSO,24,1.095514e+04
F1,PSO,25,1.462617e+04
F1,PSO,26,4.646625e+03
F1,PSO,27,2.355954e+03
F1,PSO,28,6.774191e+03
F1,PSO,29,1.126841e+04
F1,DE,0,7.761693e+03
F1,DE,1,2.714953e+03
F1,DE,2,2.317119e+04
F1,DE,3,1.899229e+03
F1,DE,4,6.647491e+03
F1,DE,5,2.399515e+03
F1,DE,6,4.635113e-01
F1,DE,7,1.384128e+04
F1,DE,8,1.441971e+04
F1,DE,9,8.293916e+03
F1,DE,10,7.866577e+01
F1,DE,11,7.732182e+03
F1,DE,12,3.803583e+03
F1,DE,13,1.867663e+04
F1,DE,14,9.848563e+02
F1,DE,15,5.844346e+01
F1,DE,16,5.154184e+03
F1,DE,17,7.226708e+01
F1,DE,18,1.872315e+03
F1,DE,19,2.395670e+04
F1,DE,20,1.569717e+01
F1,DE,21,1.431390e+04
F1,DE,22,4.688168e+03
F1,DE,23,3.373484e+01
F1,DE,24,1.576013e+03
F1,DE,25,1.630950e+02
F1,DE,26,8.227805e+02
F1,DE,27,6.834561e+03
F1,DE,28,1.283127e+04
F1,DE,29,1.399281e+03
F1,WOA,0,8.948350e+03
F1,WOA,1,3.890786e+04
F1,WOA,2,3.146412e+04
F1,WOA,3,3.697522e+05
F1,WOA,4,9.878632e+05
F1,WOA,5,1.078541e+04
F1,WOA,6,5.105966e+04
F1,WOA,7,4.571557e+03
F1,WOA,8,2.748172e+03
F1,WOA,9,7.411415e+04
F1,WOA,10,3.433834e+03
F1,WOA,11,5.120753e+03
F1,WOA,12,1.259758e+04
F1,WOA,13,4.270000e+04
F1,WOA,14,7.369354e+05
F1,WOA,15,2.044977e+03
F1,WOA,16,2.326739e+04
F1,WOA,17,6.769013e+03
F1,WOA,18,1.809305e+04
F1,WOA,19,3.069898e+04
F1,WOA,20,3.950961e+05
F1,WOA,21,1.539488e+04
F1,WOA,22,5.306823e+06
F1,WOA,23,3.020058e+04
F1,WOA,24,2.166224e+04
F1,WOA,25,8.293468e+04
F1,WOA,26,1.553683e+04
F1,WOA,27,1.865416e+03
F1,WOA,28,1.442666e+05
F1,WOA,29,4.018546e+05
F2,EOGWO,0,2.310942e+01
F2,EOGWO,1,7.616274e+01
F2,EOGWO,2,1.903364e+01
F2,EOGWO,3,9.132964e+00
F2,EOGWO,4,7.475648e+00
F2,EOGWO,5,5.959604e+01
F2,EOGWO,6,1.914486e+02
F2,EOGWO,7,1.464091e+01
F2,EOGWO,8,3.589982e+01
F2,EOGWO,9,2.106017e+00
F2,EOGWO,10,4.358354e+01
F2,EOGWO,11,4.886507e+02
F2,EOGWO,12,2.141487e+02
F2,EOGWO,13,7.053596e+00
F2,EOGWO,14,2.259559e+01
F2,EOGWO,15,1.059176e+01
F2,EOGWO,16,5.829476e+01
F2,EOGWO,17,1.073155e+03
F2,EOGWO,18,8.429735e-01
F2,EOGWO,19,6.186420e+02
F2,EOGWO,20,4.758348e+00
F2,EOGWO,21,2.482115e+00
F2,EOGWO,22,5.005742e+00
F2,EOGWO,23,2.959070e+01
F2,EOGWO,24,9.818526e+01
F2,EOGWO,25,6.633512e+02
F2,EOGWO,26,2.318362e+02
F2,EOGWO,27,1.335984e+02
F2,EOGWO,28,4.260611e+02
F2,EOGWO,29,4.200787e+00
F2,GWO,0,2.876244e+03
F2,GWO,1,5.396107e+03
F2,GWO,2,1.402421e+03
F2,GWO,3,2.398637e+02
F2,GWO,4,2.103362e+03
F2,GWO,5,1.319232e+03
F2,GWO,6,1.104774e+03
F2,GWO,7,2.565330e+03
F2,GWO,8,2.540844e+03
F2,GWO,9,1.826408e+03
F2,GWO,10,1.750706e+03
F2,GWO,11,2.315280e+03
F2,GWO,12,2.012787e+03
F2,GWO,13,1.311052e+03
F2,GWO,14,3.150524e+02
F2,GWO,15,6.317617e+03
F2,GWO,16,7.911917e+02
F2,GWO,17,2.738674e+01
F2,GWO,18,7.501324e+02
F2,GWO,19,1.472781e+03
F2,GWO,20,6.648524e+02
F2,GWO,21,1.406691e+03
F2,GWO,22,1.589773e+03
F2,GWO,23,4.568798e+03
F2,GWO,24,1.342710e+03
F2,GWO,25,4.273163e+03
F2,GWO,26,5.223100e+02
F2,GWO,27,2.392717e+03
F2,GWO,28,8.346874e+02
F2,GWO,29,2.509063e+03
F2,PSO,0,3.150826e-01
F2,PSO,1,1.491099e+00
F2,PSO,2,1.053090e+03
F2,PSO,3,8.226605e-02
F2,PSO,4,1.599799e-01
F2,PSO,5,5.225157e-02
F2,PSO,6,7.400180e-01
F2,PSO,7,7.767510e-03
F2,PSO,8,7.220272e-01
F2,PSO,9,7.296841e-03
F2,PSO,10,2.098204e+00
F2,PSO,11,1.671666e+00
F2,PSO,12,3.733444e-01
F2,PSO,13,1.438170e+04
F2,PSO,14,2.741044e-01
F2,PSO,15,6.627268e-02
F2,PSO,16,1.134536e-02
F2,PSO,17,6.003545e-01
F2,PSO,18,1.460367e-01
F2,PSO,19,5.702811e-01
F2,PSO,20,3.307173e-02
F2,PSO,21,8.848661e-01
F2,PSO,22,3.832005e-02
F2,PSO,23,2.156352e-01
F2,PSO,24,2.362912e-02
F2,PSO,25,5.786547e-01
F2,PSO,26,2.893649e-02
F2,PSO,27,1.389347e-01
F2,PSO,28,2.172185e-02
F2,PSO,29,3.091311e-02
F2,DE,0,1.184343e-06
F2,DE,1,1.039491e-01
F2,DE,2,1.039662e+03
F2,DE,3,1.971027e+02
F2,DE,4,1.747622e-09
F2,DE,5,3.546084e+00
F2,DE,6,1.676784e-08
F2,DE,7,3.316104e-05
F2,DE,8,1.340122e+00
F2,DE,9,5.945356e+01
F2,DE,10,3.199663e-03
F2,DE,11,1.126727e+02
F2,DE,12,6.064624e-10
F2,DE,13,6.618683e+02
F2,DE,14,3.946150e-08
F2,DE,15,6.104908e-01
F2,DE,16,2.802888e-01
