function,class,algo,mean,std,best,median
F1,unimodal,EOGWO,1.364865e+05,1.113276e+05,1.107234e+04,1.027480e+05
F1,unimodal,GWO,1.550180e+07,4.917533e+07,2.395409e+04,5.652123e+05
F1,unimodal,PSO,1.840851e+07,9.907678e+07,3.436159e-01,1.001054e+04
F1,unimodal,DE,6.207259e+03,6.932736e+03,4.635113e-01,3.259268e+03
F1,unimodal,WOA,2.959170e+05,9.583471e+05,1.865416e+03,2.673398e+04
F2,unimodal,EOGWO,1.525078e+02,2.503016e+02,8.429735e-01,3.274526e+01
F2,unimodal,GWO,1.951445e+03,1.476135e+03,2.738674e+01,1.531277e+03
F2,unimodal,PSO,5.148725e+02,2.581921e+03,7.296841e-03,1.878076e-01
F2,unimodal,DE,8.048850e+01,2.175856e+02,6.064624e-10,4.453898e-01
F2,unimodal,WOA,4.628115e+02,4.553682e+02,8.915890e-01,4.384342e+02
F3,unimodal,EOGWO,7.971286e+05,8.398155e+05,6.627303e+04,4.553954e+05
F3,unimodal,GWO,1.453652e+06,1.545969e+06,2.688777e+04,8.245654e+05
F3,unimodal,PSO,1.249480e+06,2.192418e+06,6.387567e+04,4.878339e+05
F3,unimodal,DE,6.398118e+04,6.016641e+04,2.106498e+03,4.114615e+04
F3,unimodal,WOA,1.102425e+06,9.350512e+05,1.456699e+05,7.720016e+05
F4,multimodal,EOGWO,6.335552e+00,1.713260e+01,7.125145e-03,7.167130e-01
F4,multimodal,GWO,2.010619e+01,3.293047e+01,2.330083e-01,2.291107e+00
F4,multimodal,PSO,6.816564e+01,4.067513e+01,3.008165e-01,7.247158e+01
F4,multimodal,DE,2.670505e+00,1.186638e+01,1.647635e-05,4.141461e-01
F4,multimodal,WOA,3.420233e+01,3.434671e+01,1.489899e-02,3.086245e+01
F5,multimodal,EOGWO,2.184327e+01,8.354761e+00,6.007115e+00,2.252660e+01
F5,multimodal,GWO,2.688377e+01,1.213838e+01,6.977545e+00,2.825366e+01
F5,multimodal,PSO,1.652001e+01,6.620819e+00,5.969756e+00,1.542185e+01
F5,multimodal,DE,2.500202e+01,1.112743e+01,3.979855e+00,2.884688e+01
F5,multimodal,WOA,3.924128e+01,1.678148e+01,1.195079e+01,3.601285e+01
F6,multimodal,EOGWO,1.548755e-02,1.918726e-02,1.724400e-04,9.226417e-03
F6,multimodal,GWO,3.147953e-02,6.644204e-02,2.144701e-07,5.575006e-04
F6,multimodal,PSO,1.704513e-03,2.660262e-03,2.633783e-09,2.559009e-04
F6,multimodal,DE,1.795336e-01,1.161043e-01,1.973153e-02,1.443361e-01
F6,multimodal,WOA,2.086769e-02,3.597262e-02,1.887017e-06,2.731504e-03
F7,multimodal,EOGWO,2.950522e-01,7.594749e-01,4.523237e-04,1.442775e-02
F7,multimodal,GWO,7.978925e-01,1.594794e+00,2.767243e-03,1.497006e-01
F7,multimodal,PSO,2.647961e-01,6.514018e-01,1.068656e-11,1.136897e-08
F7,multimodal,DE,3.327319e-02,1.136695e-01,0.000000e+00,4.098410e-11
F7,multimodal,WOA,7.291164e+00,8.225722e+00,9.001849e-02,4.793115e+00
F8,multimodal,EOGWO,1.980238e+01,3.592415e+00,4.607152e-01,2.047224e+01
F8,multimodal,GWO,2.046907e+01,1.141535e-01,2.024411e+01,2.048562e+01
F8,multimodal,PSO,2.042029e+01,8.639720e-02,2.029319e+01,2.040355e+01
F8,multimodal,DE,2.049854e+01,9.062594e-02,2.027417e+01,2.050214e+01
F8,multimodal,WOA,2.013333e+01,1.346513e-01,1.999635e+01,2.007651e+01
F9,multimodal,EOGWO,7.247354e-01,1.588740e-01,1.276051e-01,7.378285e-01
F9,multimodal,GWO,9.284875e-01,4.713026e-01,1.446319e-01,7.719732e-01
F9,multimodal,PSO,1.571158e-01,1.130561e-01,2.216059e-02,1.366147e-01
F9,multimodal,DE,4.413658e-02,4.198522e-02,0.000000e+00,3.446245e-02
F9,multimodal,WOA,2.758647e-01,1.751605e-01,9.058595e-02,2.290332e-01
F10,unimodal,EOGWO,1.245984e+04,4.603666e+03,4.344093e+03,1.132716e+04
F10,unimodal,GWO,1.311191e+04,5.352394e+03,1.965239e+03,1.293815e+04
F10,unimodal,PSO,1.665466e+04,1.127193e+04,2.340310e+03,1.380665e+04
F10,unimodal,DE,5.555537e+03,4.289778e+03,9.460590e+02,3.694377e+03
F10,unimodal,WOA,1.656022e+04,4.660039e+03,8.988111e+03,1.598580e+04
