function,p(GWO),sig(GWO),p(PSO),sig(PSO),p(DE),sig(DE),p(WOA),sig(WOA)
F1,4.585e-04,+,1.931e-08,+,2.053e-10,-,8.135e-03,+
F2,7.044e-10,+,1.055e-08,+,1.837e-04,-,2.866e-02,+
F3,1.558e-01,=,8.708e-01,=,3.643e-10,-,6.043e-02,=
F4,2.921e-04,+,8.121e-09,+,8.106e-02,=,2.459e-04,+
F5,8.367e-02,=,8.875e-03,-,1.039e-01,=,7.475e-06,+
F6,1.532e-02,+,2.675e-07,-,2.053e-10,+,2.254e-01,=
F7,2.002e-03,+,1.196e-02,-,1.772e-08,-,1.619e-09,+
F8,5.742e-01,=,6.249e-02,=,1.242e-01,=,3.344e-09,+
F9,2.675e-01,=,2.053e-10,-,3.175e-11,-,1.931e-08,-
F10,4.779e-01,=,1.833e-01,=,5.389e-07,-,8.339e-04,+

EOGWO vs,Win(+),Tie(=),Loss(-)
GWO,5,5,0
PSO,3,3,4
DE,1,3,6
WOA,7,2,1
